"ObjectName","Category","Requirement","DVOType","GSCType","Comparison","Placement","DVOHash","GSCHash"
"SOD_fntbl_NestedSearchItem","Functions","CoreSearch","IF","IF","Identical","Common","1B19C08639BA8693091372E09126D7F263F6463024E050E86217462219432AF7","1B19C08639BA8693091372E09126D7F263F6463024E050E86217462219432AF7"
"SOD_fntbl_PriceLevel","Functions","CorePricing","IF","IF","Identical","Common","9FC127FE43DCD088928296E6DFEA9A7F061E88B3C346B37FA3E8C28FA997D875","9FC127FE43DCD088928296E6DFEA9A7F061E88B3C346B37FA3E8C28FA997D875"
"SOD_fntbl_SearchItem","Functions","CoreSearch","IF","IF","Identical","Common","6019B55AB6CE2A74495A1EC6EE59C9B86596B4CFD11D5BA0D604D2C1E3AAFDEE","6019B55AB6CE2A74495A1EC6EE59C9B86596B4CFD11D5BA0D604D2C1E3AAFDEE"
"SOD_fntbl_WoDetails","Functions","CoreReporting","TF","TF","Different","BranchOverrides","672F03A6F24C625DE7F56FD9EE089290A931ECE1C76049F570C894F4F59C3CD6","A09D561D45FABD005834CF6CBBEDE7366A87D9717E9F0DCF52AC27477F06D991"
"SOD_fntbl_WoEntry","Functions","CoreReporting","TF","TF","Identical","Common","3AD2DE251F2FE2EB0FAF4100E442200B1E8F0CC405ED247073CED22FB01A1571","3AD2DE251F2FE2EB0FAF4100E442200B1E8F0CC405ED247073CED22FB01A1571"
"SOD_sp_InsertQoute","Procedures","CoreSave","P ","P ","Different","BranchOverrides","2BCD3C9BDEB09A4B5635E1AFE71CF92E37653E4C617058FB3C126D181E7F5F3E","28F9A41DE5038F75590C88BA54217CB1E4712DF51AF22A7C176FD28B079D3C0B"
"SOD_sp_InsertQouteEntry","Procedures","CoreSave","P ","P ","Different","BranchOverrides","0D6565F1D8ED2F67D22CE3F1CF55901AEF0B62BFBABE1099CC27D03E843AF8EC","62C7E1D93A0ECB63AA8212879225F4A942F67D7BFF865D16A7181DABA2EC0939"
"trg_InventoryTransferLog_ItemLogs","Triggers","QueueAudit","TR","TR","Identical","Common","0FC96D673E528C4ECB197DCAFE08272DCAC8EF6ABB6CDB0E4D88716EBDA195C6","0FC96D673E528C4ECB197DCAFE08272DCAC8EF6ABB6CDB0E4D88716EBDA195C6"
"trg_ItemLogs","Triggers","QueueAudit","TR","TR","Identical","Common","199A5C2DB4343C4DED593B69A6FEB990542EE2BA81218B8F23355647D3A55667","199A5C2DB4343C4DED593B69A6FEB990542EE2BA81218B8F23355647D3A55667"
"trg_OrderEntry_ItemLogs","Triggers","QueueAudit","TR","TR","Identical","Common","4326A208C480689659F50AD4A27212A29DBC382688A8F3161F515D1699458225","4326A208C480689659F50AD4A27212A29DBC382688A8F3161F515D1699458225"
"trg_Transaction_closeQueue","Triggers","QueueMode","TR","TR","Identical","Common","1B87C45DA94C9E3710ABA42FC8FEF14CB4EDA02B5ECAC60FD6E46750B26711B9","1B87C45DA94C9E3710ABA42FC8FEF14CB4EDA02B5ECAC60FD6E46750B26711B9"
"trg_TransactionEntry_ItemLogs","Triggers","QueueAudit","TR","TR","Identical","Common","0010E51AE6780D726BD826DA1DE24868CAD49137BBB1C640DE62AC45CFC2D82A","0010E51AE6780D726BD826DA1DE24868CAD49137BBB1C640DE62AC45CFC2D82A"
