"Source","ReferencingObject","ReferencedDatabase","ReferencedObject"
"DVO_STORE_DB","dbo.SOD_viewLastUpdatedItem","","dbo.item"
"DVO_STORE_DB","dbo.SOD_viewLastUpdatedItem","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.SOD_viewLastUpdatedOrder","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.Inserted"
"DVO_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.item"
"DVO_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.PurchaseOrder"
"DVO_STORE_DB","dbo.trg_InventoryTransferLog_ItemLogs","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.trg_ItemLogs","","dbo.deleted"
"DVO_STORE_DB","dbo.trg_ItemLogs","","dbo.inserted"
"DVO_STORE_DB","dbo.trg_ItemLogs","","dbo.item"
"DVO_STORE_DB","dbo.trg_ItemLogs","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.deleted"
"DVO_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.inserted"
"DVO_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.item"
"DVO_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.Order"
"DVO_STORE_DB","dbo.trg_OrderEntry_ItemLogs","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.trg_Transaction_closeQueue","","dbo.inserted"
"DVO_STORE_DB","dbo.trg_Transaction_closeQueue","","dbo.Queueing"
"DVO_STORE_DB","dbo.trg_TransactionEntry_ItemLogs","","dbo.inserted"
"DVO_STORE_DB","dbo.trg_TransactionEntry_ItemLogs","","dbo.item"
"DVO_STORE_DB","dbo.trg_TransactionEntry_ItemLogs","","dbo.SOD_Item_Logs"
"DVO_STORE_DB","dbo.trg_TransactionEntry_ItemLogs","","dbo.transaction"
